3632,423000000000
4043,431000000000
3015,447000000000
10006,463000000000
28852,503000000000
13912,570000000000
21313,614000000000
58388,667000000000
35773,709000000000
36253,771000000000
61472,841000000000
58320,907000000000
30633,920000000000
50781,742000000000
78468,745000000000
23028,734000000000
106225,752000000000
73936,766000000000
75034,771000000000
123863,840000000000
139060,921000000000
281243,1010000000000
158892,1120000000000
159070,1360000000000
109177,1510000000000
130094,1770000000000
535273,2150000000000
223604,2250000000000
607882,2330000000000
